23:41:20.9470: Info | No accounts found!
23:41:20.9470: Info | B: 1
23:41:20.9470: Info | B cbx: 1
23:41:20.9470: Info | No accounts found or selected!
23:41:20.9590: Info | --------SetRotationKeys()
23:41:20.9930: Info | Hook off
23:59:28.2391: Info | No wow_folder value in config found! Creating it ...
23:59:28.2581: Info | no wow folder in config
23:59:28.2581: Info | Could not find any class file!
23:59:28.2681: Info | Not a valid WoW folder!
23:59:28.2681: Info | No accounts found!
23:59:28.2681: Info | B: 1
23:59:28.2681: Info | B cbx: 1
23:59:28.2681: Info | No accounts found or selected!
23:59:28.2681: Info | --------SetRotationKeys()
23:59:28.3131: Info | Hook off
00:21:15.2319: Info | No wow_folder value in config found! Creating it ...
00:21:15.2629: Info | no wow folder in config
00:21:15.2749: Info | Could not find any class file!
00:21:15.2749: Info | Not a valid WoW folder!
00:21:15.2749: Info | No accounts found!
00:21:15.2749: Info | B: 1
00:21:15.2749: Info | B cbx: 1
00:21:15.2749: Info | No accounts found or selected!
00:21:15.2909: Info | --------SetRotationKeys()
00:21:15.3269: Info | Hook off
00:23:47.4266: Info | No wow_folder value in config found! Creating it ...
00:23:47.4486: Info | no wow folder in config
00:23:47.4586: Info | Could not find any class file!
00:23:47.4586: Info | Not a valid WoW folder!
00:23:47.4586: Info | No accounts found!
00:23:47.4586: Info | B: 1
00:23:47.4586: Info | B cbx: 1
00:23:47.4686: Info | No accounts found or selected!
00:23:47.4686: Info | --------SetRotationKeys()
00:23:47.5086: Info | Hook off
00:23:49.2087: Info | OnAttached()
00:23:49.2167: Info | --GetPlayerSpells()
00:23:49.2167: Info | playerName: Ceyh
00:23:49.2167: Info | Base: 4194304#: 400000
00:23:49.2167: Info | set FirstInternalUpdate 'false'
00:23:49.2167: Info | OnGotBasicDataEvent()
00:23:49.2167: Info | No class file loaded!
17:20:19.2411: Info | No wow_folder value in config found! Creating it ...
17:20:19.2711: Info | no wow folder in config
17:20:20.1471: Info | Could not find any class file!
17:20:20.1471: Info | Not a valid WoW folder!
17:20:20.1471: Info | No accounts found!
17:20:20.1471: Info | B: 1
17:20:20.1471: Info | B cbx: 1
17:20:20.1471: Info | No accounts found or selected!
17:20:20.1611: Info | --------SetRotationKeys()
17:20:20.1931: Info | Hook off
16:42:06.0181: Info | No wow_folder value in config found! Creating it ...
16:42:06.0411: Info | no wow folder in config
16:42:06.9031: Info | Could not find any class file!
16:42:06.9061: Info | Not a valid WoW folder!
16:42:06.9061: Info | No accounts found!
16:42:06.9061: Info | B: 1
16:42:06.9061: Info | B cbx: 1
16:42:06.9061: Info | No accounts found or selected!
16:42:06.9061: Info | --------SetRotationKeys()
16:42:06.9541: Info | Hook off
16:42:36.0008: Info | No wow_folder value in config found! Creating it ...
16:42:36.0188: Info | no wow folder in config
16:42:36.0188: Info | Could not find any class file!
16:42:36.0318: Info | Not a valid WoW folder!
16:42:36.0318: Info | No accounts found!
16:42:36.0318: Info | B: 1
16:42:36.0318: Info | B cbx: 1
16:42:36.0318: Info | No accounts found or selected!
16:42:36.0318: Info | --------SetRotationKeys()
16:42:36.0778: Info | Hook off
16:45:49.3948: Info | No wow_folder value in config found! Creating it ...
16:45:49.4128: Info | no wow folder in config
16:45:49.4128: Info | Could not find any class file!
16:45:49.4268: Info | Not a valid WoW folder!
16:45:49.4268: Info | No accounts found!
16:45:49.4268: Info | B: 1
16:45:49.4268: Info | B cbx: 1
16:45:49.4268: Info | No accounts found or selected!
16:45:49.4268: Info | --------SetRotationKeys()
16:45:49.4688: Info | Hook off
